Mach;AoA (deg);Cl (SU2);Cd (SU2);Cd (Analytical);Error (%)
2;0;0;0,01772;0,017737;0,09
2;5;0,204873;0,036038;0,036064;0,07
2;10;0,414711;0,092515;0,092612;0,1
2;15;0,640363;0,193915;0,194278;0,19
2,5;0;0;0,013419;0,01343;0,09
2,5;5;0,155539;0,027374;0,027399;0,09
2,5;10;0,314491;0,07025;0,070344;0,13
2,5;15;0,480242;0,145224;0,145469;0,17
3;0;0;0,010907;0,010916;0,08
3;5;0,127409;0,022433;0,022458;0,11
3;10;0,258958;0,058043;0,058158;0,2
3;15;0,39817;0,120845;0,12107;0,19
3,5;0;-0,000004;0,009236;0,009243;0,08
3,5;5;0,108631;0,01919;0,019221;0,17
3,5;10;0,223198;0,050233;0,050342;0,22
3,5;15;0,346481;0,105626;0,105868;0,23
4;0;0;0,008035;0,008043;0,1
4;5;0,095872;0,016905;0,016933;0,16
4;10;0,198235;0,044812;0,044905;0,21
4;15;0,311051;0,095264;0,095493;0,24
